Date,ADBE,RHT
1/2/2013,38.34,54.6
1/3/2013,37.75,53.91
1/4/2013,38.13,54.25
1/7/2013,37.94,53.92
1/8/2013,38.14,54.58
1/9/2013,38.66,54.44
1/10/2013,38.62,54.27
1/11/2013,38.09,54.45
1/14/2013,38.16,54.99
1/15/2013,38.15,54.99
1/16/2013,37.88,54.9
1/17/2013,37.73,54.86
1/18/2013,37.98,54.15
1/22/2013,37.95,52.8
1/23/2013,38.25,54.15
1/24/2013,38.1,54.47
1/25/2013,38.32,56.05
1/28/2013,38.24,56.25
1/29/2013,38.52,55.06
1/30/2013,37.94,54.49
1/31/2013,37.83,55.56
2/1/2013,38.34,56.9
2/4/2013,38.1,55.95
2/5/2013,38.51,56.24
2/6/2013,38.4,55.73
2/7/2013,38.07,55.09
2/8/2013,39.12,54.96
2/11/2013,38.64,54.51
2/12/2013,38.89,55.33
2/13/2013,38.81,54.5
2/14/2013,38.61,54.07
2/15/2013,38.635,53.93
2/19/2013,38.995,53.94
2/20/2013,38.77,53.72
2/21/2013,38.34,51.71
2/22/2013,38.55,51.24
2/25/2013,38.11,50.24
2/26/2013,38.59,49.39
2/27/2013,39.6,50.55
2/28/2013,39.31,50.81
3/1/2013,39.83,51.58
3/4/2013,40.46,52.08
3/5/2013,41.46,51.99
3/6/2013,41.29,52.8
3/7/2013,41.5,53.47
3/8/2013,41.5,53.0
3/11/2013,41.48,53.14
3/12/2013,41.4,50.6
3/13/2013,41.59,50.8
3/14/2013,41.62,50.66
3/15/2013,41.38,50.44
3/18/2013,41.06,50.13
3/19/2013,40.75,49.79
3/20/2013,42.46,51.18
3/21/2013,42.18,50.94
3/22/2013,42.97,50.8
3/25/2013,42.49,48.99
3/26/2013,42.75,49.25
3/27/2013,42.66,49.97
3/28/2013,43.515,50.56
4/1/2013,43.38,48.32
4/2/2013,43.845,48.84
4/3/2013,43.7,47.7
4/4/2013,44.21,48.05
4/5/2013,43.38,47.47
4/8/2013,43.79,47.96
4/9/2013,44.17,48.27
4/10/2013,44.7,49.52
4/11/2013,45.21,49.99
4/12/2013,45.03,50.55
4/15/2013,44.6,49.26
4/16/2013,45.28,51.28
4/17/2013,44.9,50.27
4/18/2013,44.46,49.1
4/19/2013,44.74,49.25
4/22/2013,44.53,48.61
4/23/2013,44.87,49.11
4/24/2013,44.67,48.65
4/25/2013,45.05,49.08
4/26/2013,44.91,48.53
4/29/2013,45.06,48.81
4/30/2013,45.08,47.93
5/1/2013,44.71,47.73
5/2/2013,45.69,48.51
5/3/2013,47.01,49.65
5/6/2013,46.49,50.3
5/7/2013,45.602,50.65
5/8/2013,45.32,50.82
5/9/2013,43.97,50.94
5/10/2013,44.02,51.9
5/13/2013,43.61,51.96
5/14/2013,44.04,52.72
5/15/2013,45.07,54.16
5/16/2013,44.56,54.71
5/17/2013,44.61,54.99
5/20/2013,44.29,52.65
5/21/2013,44.02,51.86
5/22/2013,43.17,50.02
5/23/2013,42.77,49.36
5/24/2013,42.43,48.49
5/28/2013,42.91,48.64
5/29/2013,42.6,48.18
5/30/2013,43.19,47.86
5/31/2013,42.91,48.23
6/3/2013,43.46,47.16
6/4/2013,44.39,46.18
6/5/2013,43.84,45.7
6/6/2013,43.57,45.48
6/7/2013,44.12,46.24
6/10/2013,44.09,46.4
6/11/2013,43.12,46.24
6/12/2013,42.72,46.4
6/13/2013,43.3,45.85
6/14/2013,42.84,45.81
6/17/2013,43.39,45.68
6/18/2013,43.36,46.63
6/19/2013,45.78,46.22
6/20/2013,44.895,45.88
6/21/2013,44.77,46.45
6/24/2013,43.6,45.91
6/25/2013,44.37,45.86
6/26/2013,45.68,46.79
6/27/2013,45.93,48.47
6/28/2013,45.56,47.82
7/1/2013,46.235,47.41
7/2/2013,46.03,47.41
7/3/2013,46.42,47.85
7/5/2013,47.0,48.34
7/8/2013,46.625,47.94
7/9/2013,47.26,48.14
7/10/2013,47.25,48.33
7/11/2013,47.99,50.57
7/12/2013,48.39,50.26
7/15/2013,48.12,49.85
7/16/2013,47.485,49.59
7/17/2013,48.04,49.68
7/18/2013,48.19,50.21
7/19/2013,48.07,49.38
7/22/2013,48.28,48.96
7/23/2013,48.07,48.79
7/24/2013,47.8,50.54
7/25/2013,47.79,51.75
7/26/2013,47.64,50.83
7/29/2013,47.17,50.77
7/30/2013,47.36,51.08
7/31/2013,47.28,51.77
8/1/2013,47.7,52.48
8/2/2013,47.45,52.44
8/5/2013,47.63,52.24
8/6/2013,47.39,51.66
8/7/2013,47.1,51.25
8/8/2013,47.51,52.04
8/9/2013,47.18,52.46
8/12/2013,47.2,52.28
8/13/2013,47.14,53.52
8/14/2013,46.84,53.08
8/15/2013,45.87,51.97
8/16/2013,45.4,51.51
8/19/2013,44.89,51.25
8/20/2013,45.07,51.32
8/21/2013,45.14,51.1
8/22/2013,45.68,51.96
8/23/2013,45.77,51.57
8/26/2013,46.06,51.7
8/27/2013,45.5,50.17
8/28/2013,45.53,50.32
8/29/2013,45.93,50.85
8/30/2013,45.75,50.52
9/3/2013,45.88,50.85
9/4/2013,46.93,51.15
9/5/2013,46.731,50.86
9/6/2013,46.87,51.06
9/9/2013,47.25,52.19
9/10/2013,48.02,52.84
9/11/2013,48.2,53.47
9/12/2013,47.64,52.85
9/13/2013,47.76,52.43
9/16/2013,48.14,53.02
9/17/2013,48.14,52.57
9/18/2013,52.58,53.58
9/19/2013,51.869,53.59
9/20/2013,52.31,53.22
9/23/2013,51.8,52.93
9/24/2013,51.42,46.73
9/25/2013,51.87,46.89
9/26/2013,52.1,46.62
9/27/2013,52.03,45.95
9/30/2013,51.94,46.14
10/1/2013,52.43,45.74
10/2/2013,51.52,45.27
10/3/2013,50.88,44.91
10/4/2013,51.57,45.05
10/7/2013,50.82,45.45
10/8/2013,49.58,43.3
10/9/2013,49.45,43.1
10/10/2013,51.165,42.87
10/11/2013,52.19,42.82
10/14/2013,52.63,42.84
10/15/2013,51.93,42.61
10/16/2013,51.91,43.6
10/17/2013,52.065,43.53
10/18/2013,52.63,43.29
10/21/2013,53.08,42.59
10/22/2013,53.17,42.91
10/23/2013,53.06,42.35
10/24/2013,54.21,43.75
10/25/2013,53.81,43.4
10/28/2013,53.93,43.59
10/29/2013,54.86,44.07
10/30/2013,54.1,43.39
10/31/2013,54.22,43.27
11/1/2013,54.61,43.23
11/4/2013,55.39,43.1
11/5/2013,54.79,42.93
11/6/2013,54.88,44.07
11/7/2013,53.168,43.2
11/8/2013,54.84,43.32
11/11/2013,56.18,44.27
11/12/2013,56.24,44.6
11/13/2013,57.55,46.37
11/14/2013,57.17,46.32
11/15/2013,57.35,47.1
11/18/2013,56.6,46.56
11/19/2013,55.77,46.42
11/20/2013,55.94,46.53
11/21/2013,56.23,47.11
11/22/2013,56.41,47.11
11/25/2013,56.95,46.87
11/26/2013,56.7,46.54
11/27/2013,56.91,46.9
11/29/2013,56.78,46.85
12/2/2013,56.76,46.18
12/3/2013,56.4,45.93
12/4/2013,56.05,46.66
12/5/2013,55.04,46.67
12/6/2013,55.6,46.77
12/9/2013,55.44,47.47
12/10/2013,55.32,46.69
12/11/2013,54.64,46.15
12/12/2013,53.99,46.35
12/13/2013,60.89,46.77
12/16/2013,58.5,47.54
12/17/2013,57.67,48.22
12/18/2013,59.04,48.91
12/19/2013,58.13,49.0
12/20/2013,59.26,56.1
12/23/2013,59.47,56.07
12/24/2013,59.53,55.98
12/26/2013,59.58,55.87
12/27/2013,59.51,56.24
12/30/2013,59.55,56.07
12/31/2013,59.879,56.04
1/2/2014,59.29,55.83
1/3/2014,59.16,55.78
1/6/2014,58.12,56.34
1/7/2014,58.97,57.42
1/8/2014,58.9,56.99
1/9/2014,59.09,57.29
1/10/2014,59.53,56.81
1/13/2014,58.6,57.56
1/14/2014,60.37,59.38
1/15/2014,61.68,59.19
1/16/2014,61.63,59.06
1/17/2014,61.37,58.59
1/21/2014,60.85,59.14
1/22/2014,61.77,58.92
1/23/2014,60.88,58.12
1/24/2014,59.09,56.73
1/27/2014,58.36,55.82
1/28/2014,59.11,57.23
1/29/2014,58.46,55.55
1/30/2014,59.39,57.12
1/31/2014,59.19,56.5
2/3/2014,58.09,54.7
2/4/2014,59.72,54.86
2/5/2014,61.0,54.71
2/6/2014,61.34,55.54
2/7/2014,62.88,56.99
2/10/2014,63.78,56.67
2/11/2014,63.97,57.48
2/12/2014,65.14,57.69
2/13/2014,67.04,58.43
2/14/2014,68.34,58.32
2/18/2014,68.66,58.08
2/19/2014,67.99,58.63
2/20/2014,68.48,59.3
2/21/2014,68.22,58.69
2/24/2014,68.765,58.89
2/25/2014,68.01,58.97
2/26/2014,67.82,59.75
2/27/2014,69.92,59.93
2/28/2014,68.63,58.99
3/3/2014,67.86,58.28
3/4/2014,68.6,60.49
3/5/2014,68.9,60.55
3/6/2014,68.92,60.86
3/7/2014,68.52,60.52
3/10/2014,68.04,59.51
3/11/2014,67.47,58.67
3/12/2014,68.06,59.1
3/13/2014,67.08,57.41
3/14/2014,67.19,57.62
3/17/2014,68.17,58.63
3/18/2014,68.52,58.81
3/19/2014,67.63,58.24
3/20/2014,68.49,58.47
3/21/2014,67.14,57.4
3/24/2014,65.24,57.09
3/25/2014,65.81,57.31
3/26/2014,63.9,55.98
3/27/2014,64.53,56.13
3/28/2014,64.88,52.23
3/31/2014,65.74,52.98
4/1/2014,65.93,53.71
4/2/2014,65.48,53.11
4/3/2014,62.45,51.34
4/4/2014,61.32,50.46
4/7/2014,60.47,49.85
4/8/2014,61.82,50.01
4/9/2014,63.46,52.06
4/10/2014,61.49,50.02
4/11/2014,60.5,49.36
4/14/2014,61.39,49.83
4/15/2014,62.105,50.1
4/16/2014,63.04,50.62
4/17/2014,64.04,50.55
4/21/2014,64.3,50.93
4/22/2014,64.48,50.9
4/23/2014,64.39,50.05
4/24/2014,63.22,49.63
4/25/2014,61.61,48.37
4/28/2014,60.4,48.19
4/29/2014,60.91,48.53
4/30/2014,61.69,48.65
5/1/2014,62.59,48.75
5/2/2014,61.56,48.57
5/5/2014,61.44,49.42
5/6/2014,59.44,48.86
5/7/2014,58.63,48.76
5/8/2014,59.08,48.33
5/9/2014,59.59,48.74
